pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S1T1,572183,3148446,136/136,508/510,270/270,110/122,302/302,143/143,208/212,418/426,335/335,165/165,266/266,328/336,235/245
WM,S1T3,572147,3148491,136/136,506/506,270/270,110/110,298/302,143/143,210/212,422/426,333/335,165/165,266/266,328/336,255/267
WM,S1T4,572170,3148601,136/136,506/508,270/270,110/110,302/302,143/143,210/210,418/426,335/335,165/165,256/266,328/328,249/267
WM,S1T5,572171,3148604,136/136,506/506,270/270,110/118,302/302,143/143,210/210,418/426,335/345,161/165,268/268,328/328,249/267
WM,S1T6,572180,3148621,136/136,510/510,270/270,110/110,298/302,143/143,208/210,418/422,333/335,165/165,268/268,328/336,267/267
WM,S1T7,572180,3148621,136/136,506/506,270/270,110/110,302/302,143/143,208/210,418/422,333/335,165/165,268/268,328/336,267/267
WM,S1T8,572222,3148686,136/136,510/510,270/270,110/110,298/302,143/143,210/210,418/422,333/335,165/165,258/266,328/336,267/267
WM,S1T9,572224,3148667,136/136,506/510,270/270,110/110,298/302,143/143,210/210,422/426,335/341,165/165,268/268,328/336,245/267
WM,S1T10,572219,3148668,136/136,506/510,266/266,118/122,298/302,143/143,210/210,422/426,335/335,165/165,268/268,328/328,245/267
WM,S1T11,572146,3148703,136/136,506/506,270/270,118/122,298/302,143/143,210/212,422/426,335/337,165/165,266/266,328/346,255/271
WM,S2T2,572590,3148475,136/136,506/508,270/270,104/110,298/302,143/143,210/212,418/428,333/333,165/165,256/256,328/328,245/255
WM,S2T4,572772,3148500,136/136,506/506,270/270,110/122,298/302,143/143,208/210,418/428,335/345,165/165,256/256,334/346,251/267
WM,S2T5,572772,3148605,136/136,506/508,270/270,110/122,298/302,143/143,208/208,414/418,335/335,161/165,268/268,328/336,267/267
WM,S2T6,572777,3148603,136/136,508/510,270/270,110/110,298/302,143/143,208/212,418/428,335/335,163/165,268/268,328/334,251/267
WM,S2T7,572785,3148602,136/136,506/506,270/270,98/122,302/302,143/143,208/208,418/418,335/335,165/165,264/264,334/346,249/267
WM,S2T8,572857,3148582,136/136,506/508,270/270,110/112,298/298,143/143,208/208,428/428,335/335,149/165,256/256,328/334,245/255
WM,S3T1,573430,3148543,136/136,506/508,270/270,110/110,298/302,143/143,210/212,418/428,333/333,165/165,256/256,328/328,245/255
WM,S3T2,573443,3148508,136/136,508/508,270/270,112/112,302/302,143/143,196/208,422/428,333/345,165/165,250/256,336/346,251/261
WM,S3T3 ,573441,3148507,136/136,506/510,270/270,110/120,298/302,143/143,198/208,428/428,335/335,149/165,256/264,328/328,245/249
WM,S3T8,573471,3148623,136/136,506/506,270/270,110/122,298/298,143/143,208/212,426/428,335/345,149/165,268/268,334/334,245/255
WM,S4T1,573998,3148967,136/136,506/508,270/270,110/122,298/302,143/143,208/208,418/428,335/335,165/165,268/268,328/328,249/267
WM,S4T2,573975,3148895,136/136,506/508,270/270,110/122,298/302,143/143,208/208,418/428,335/357,149/165,268/268,328/336,251/267
WM,S4T3,573958,3148878,136/136,506/506,270/270,110/110,298/302,143/143,208/208,418/428,335/353,149/165,250/268,328/336,251/267
